"","X","id","listing_url","host_id","host_url","host_name","host_since","host_location","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_thumbnail_url","host_picture_url","host_neighbourhood","host_listings_count","host_total_listings_count","host_verifications","host_has_profile_pic","host_identity_verified","street","neighbourhood","neighbourhood_cleansed","neighbourhood_group_cleansed","city","state","zipcode","market","smart_location","country_code","country","latitude","longitude","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","square_feet","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_ltm","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","jurisdiction_names","instant_bookable","is_business_travel_ready","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","place"
"1",1,50904,"https://www.airbnb.com/rooms/50904",234077,"https://www.airbnb.com/users/show/234077","Karin","9/14/2010","Antwerp, Flanders, Belgium","within an hour","100%","100%","f","https://a0.muscache.com/im/pictures/user/9cdb384a-13d9-46e4-be2d-bf4998003d9f.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/9cdb384a-13d9-46e4-be2d-bf4998003d9f.jpg?aki_policy=profile_x_medium","",4,4,"['email', 'phone', 'google', 'reviews', 'offline_government_id', 'government_id']","t","f","Antwerp, Flanders, Belgium",NA,"Historisch Centrum",NA,"Antwerpen","Flanders","2000","Antwerp","Antwerp, Belgium","BE","Belgium",51.21858,4.3985,"t","Boutique hotel","Hotel room",2,1,1,1,"Real Bed",NA,"$145.00 ","","","$250.00 ","$25.00 ",1,"$0.00 ",1,60,1,2,40,60,1.3,43.3,"t",6,35,65,238,"3/21/2020",1,0,"5/6/2015","5/6/2015",100,10,10,10,10,10,10,NA,"f","f","strict_14_with_grace_period","f","f",4,2,0,0,0.02,"Antwerp"
"2",2,116134,"https://www.airbnb.com/rooms/116134",586942,"https://www.airbnb.com/users/show/586942","Paul","5/14/2011","Kapellen, Flemish Region, Belgium","within an hour","100%","100%","t","https://a0.muscache.com/im/users/586942/profile_pic/1305707417/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/586942/profile_pic/1305707417/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual', 'work_email']","t","t","Antwerp, Flemish Region, Belgium",NA,"Eilandje",NA,"Antwerpen","Flemish Region","2000","Antwerp","Antwerp, Belgium","BE","Belgium",51.23051,4.40593,"t","Apartment","Entire home/apt",4,2.5,2,2,"Real Bed",NA,"$150.00 ","$1,015.00 ","","$250.00 ","$80.00 ",1,"$0.00 ",2,30,2,2,30,30,2,30,"t",27,56,73,325,"3/21/2020",99,23,"3/5/2012","2/16/2020",99,10,10,10,10,10,10,NA,"t","f","strict_14_with_grace_period","f","f",1,1,0,0,1.01,"Antwerp"
"3",3,224333,"https://www.airbnb.com/rooms/224333",1167377,"https://www.airbnb.com/users/show/1167377","Geert","9/16/2011","Antwerpen, Flemish Region, Belgium","within an hour","100%","61%","t","https://a0.muscache.com/im/pictures/user/11ed8503-aa7b-4c25-93ee-cc24d16883c2.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/11ed8503-aa7b-4c25-93ee-cc24d16883c2.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'facebook', 'jumio', 'government_id']","t","t","Antwerpen, Vlaanderen, Belgium",NA,"Deurne Zuid West",NA,"Antwerpen","Vlaanderen","2100","Antwerp","Antwerpen, Belgium","BE","Belgium",51.19772,4.45853,"t","House","Private room",2,2,1,1,"Real Bed",NA,"$16.00 ","","","$400.00 ","$0.00 ",1,"$0.00 ",14,365,14,14,365,365,14,365,"t",0,0,0,260,"3/21/2020",1,0,"9/19/2011","9/19/2011",NA,NA,NA,NA,NA,NA,NA,NA,"f","f","moderate","f","f",2,0,2,0,0.01,"Antwerp"
"4",4,224682,"https://www.airbnb.com/rooms/224682",1263933,"https://www.airbnb.com/users/show/1263933","Kristien","10/8/2011","Antwerpen, Vlaams Gewest, Belgium","within an hour","100%","95%","t","https://a0.muscache.com/im/pictures/user/4fe9488f-716a-46bf-9999-91f4ec1763cf.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/4fe9488f-716a-46bf-9999-91f4ec1763cf.jpg?aki_policy=profile_x_medium","",1,1,"['phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Antwerpen, Vlaams Gewest, Belgium",NA,"Sint-Andries",NA,"Antwerpen","Vlaams Gewest","2000","Antwerp","Antwerpen, Belgium","BE","Belgium",51.21722,4.3979,"t","Apartment","Entire home/apt",3,1,1,2,"Real Bed",NA,"$105.00 ","$700.00 ","$2,000.00 ","$100.00 ","",2,"$25.00 ",2,30,2,2,30,30,2,30,"t",28,52,81,348,"3/21/2020",336,89,"2/20/2012","3/8/2020",95,10,10,10,10,10,10,NA,"f","f","moderate","f","f",1,1,0,0,3.41,"Antwerp"
"5",5,328911,"https://www.airbnb.com/rooms/328911",1263814,"https://www.airbnb.com/users/show/1263814","Tinne","10/8/2011","Antwerp, Flanders, Belgium","within an hour","100%","90%","f","https://a0.muscache.com/im/users/1263814/profile_pic/1440985959/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/1263814/profile_pic/1440985959/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Antwerp, Flemish Region, Belgium",NA,"Stadspark",NA,"Antwerpen","Flemish Region","2018","Antwerp","Antwerp, Belgium","BE","Belgium",51.21078,4.4105,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",NA,"$55.00 ","","","$250.00 ","$90.00 ",1,"$0.00 ",15,365,1,15,1125,1125,14.8,1125,"t",29,42,42,42,"3/21/2020",59,5,"3/1/2012","10/30/2019",93,10,10,10,9,10,9,NA,"f","f","strict_14_with_grace_period","t","f",1,1,0,0,0.6,"Antwerp"
"6",6,345959,"https://www.airbnb.com/rooms/345959",1754396,"https://www.airbnb.com/users/show/1754396","Marleen","2/15/2012","Antwerp, Vlaams Gewest, Belgium","within an hour","100%","100%","t","https://a0.muscache.com/im/users/1754396/profile_pic/1335342128/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/1754396/profile_pic/1335342128/original.jpg?aki_policy=profile_x_medium","",2,2,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","t","Antwerp, Flemish Region, Belgium",NA,"Markgrave",NA,"Antwerpen","Flemish Region","2018","Antwerp","Antwerp, Belgium","BE","Belgium",51.19935,4.40154,"t","Apartment","Entire home/apt",3,1,2,2,"Real Bed",NA,"$45.00 ","$325.00 ","$990.00 ","","$25.00 ",1,"$17.00 ",3,90,1,3,1125,1125,3,1125,"t",19,43,61,308,"3/21/2020",54,8,"5/12/2012","2/21/2020",95,10,10,10,10,9,10,NA,"f","f","strict_14_with_grace_period","f","f",2,2,0,0,0.56,"Antwerp"
"7",7,366252,"https://www.airbnb.com/rooms/366252",1820186,"https://www.airbnb.com/users/show/1820186","Fronk & Lieve","2/27/2012","Antwerpen, Vlaams Gewest, Belgium","within an hour","100%","54%","t","https://a0.muscache.com/im/users/1820186/profile_pic/1334932123/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/1820186/profile_pic/1334932123/original.jpg?aki_policy=profile_x_medium","",4,4,"['phone', 'facebook', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Antwerp, Flemish Region, Belgium",NA,"Borgerhout Intra Muros Noord",NA,"Antwerpen","Flemish Region","2140","Antwerp","Antwerp, Belgium","BE","Belgium",51.21601,4.43432,"t","Apartment","Private room",2,0.5,1,1,"Real Bed",0,"$31.00 ","$200.00 ","$610.00 ","$0.00 ","$10.00 ",1,"$15.00 ",1,365,1,1,365,365,1,365,"t",30,60,90,365,"3/21/2020",104,1,"3/29/2012","9/15/2019",91,9,9,10,10,9,9,NA,"f","f","strict_14_with_grace_period","f","f",4,0,4,0,1.07,"Antwerp"
"8",8,366325,"https://www.airbnb.com/rooms/366325",1820186,"https://www.airbnb.com/users/show/1820186","Fronk & Lieve","2/27/2012","Antwerpen, Vlaams Gewest, Belgium","within an hour","100%","54%","t","https://a0.muscache.com/im/users/1820186/profile_pic/1334932123/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/1820186/profile_pic/1334932123/original.jpg?aki_policy=profile_x_medium","",4,4,"['phone', 'facebook', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Antwerp, Flemish Region, Belgium",NA,"Borgerhout Intra Muros Zuid",NA,"Antwerpen","Flemish Region","2140","Antwerp","Antwerp, Belgium","BE","Belgium",51.21398,4.4328,"t","Apartment","Private room",2,1,1,1,"Real Bed",0,"$30.00 ","$210.00 ","$610.00 ","$0.00 ","$10.00 ",1,"$15.00 ",2,365,2,2,365,365,2,365,"t",30,60,90,365,"3/21/2020",54,16,"2/18/2013","1/7/2020",89,9,8,10,10,9,9,NA,"f","f","strict_14_with_grace_period","f","f",4,0,4,0,0.63,"Antwerp"
"9",9,445201,"https://www.airbnb.com/rooms/445201",1820186,"https://www.airbnb.com/users/show/1820186","Fronk & Lieve","2/27/2012","Antwerpen, Vlaams Gewest, Belgium","within an hour","100%","54%","t","https://a0.muscache.com/im/users/1820186/profile_pic/1334932123/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/1820186/profile_pic/1334932123/original.jpg?aki_policy=profile_x_medium","",4,4,"['phone', 'facebook', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Antwerp, Flemish Region, Belgium",NA,"Borgerhout Intra Muros Noord",NA,"Antwerpen","Flemish Region","2140","Antwerp","Antwerp, Belgium","BE","Belgium",51.21579,4.43265,"t","Apartment","Private room",1,2,2,0,"Real Bed",0,"$30.00 ","$200.00 ","$610.00 ","$0.00 ","$10.00 ",1,"$5.00 ",5,365,5,5,365,365,5,365,"t",30,60,89,364,"3/21/2020",54,2,"6/2/2012","12/21/2019",91,9,9,10,10,9,9,NA,"f","f","strict_14_with_grace_period","f","f",4,0,4,0,0.57,"Antwerp"
"10",10,465282,"https://www.airbnb.com/rooms/465282",2311105,"https://www.airbnb.com/users/show/2311105","Ramona","5/7/2012","Belgium","N/A","N/A","N/A","f","https://a0.muscache.com/im/users/2311105/profile_pic/1364590435/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/2311105/profile_pic/1364590435/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'jumio']","t","t","Antwerp, Flemish Region, Belgium",NA,"Harmonie",NA,"Antwerpen","Flemish Region","2018","Antwerp","Antwerp, Belgium","BE","Belgium",51.2014,4.40649,"t","Apartment","Entire home/apt",1,1,1,1,"Real Bed",NA,"$48.00 ","$320.00 ","$900.00 ","$150.00 ","$10.00 ",1,"$10.00 ",2,1125,2,2,1125,1125,2,1125,"t",0,0,0,0,"3/21/2020",16,0,"8/30/2012","5/19/2015",83,8,8,9,9,8,8,NA,"f","f","moderate","f","f",1,1,0,0,0.17,"Antwerp"
