"","X","id","listing_url","host_id","host_url","host_name","host_since","host_location","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_thumbnail_url","host_picture_url","host_neighbourhood","host_listings_count","host_total_listings_count","host_verifications","host_has_profile_pic","host_identity_verified","street","neighbourhood","neighbourhood_cleansed","neighbourhood_group_cleansed","city","state","zipcode","market","smart_location","country_code","country","latitude","longitude","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","square_feet","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_ltm","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","jurisdiction_names","instant_bookable","is_business_travel_ready","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","place"
"2456",2475,71744,"https://www.airbnb.com/rooms/71744",368362,"https://www.airbnb.com/users/show/368362","Amandine","1/30/2011","City of Brussels, Brussels, Belgium","within an hour","100%","75%","f","https://a0.muscache.com/im/pictures/user/db033679-317d-4490-af08-e749549fe2e6.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/db033679-317d-4490-af08-e749549fe2e6.jpg?aki_policy=profile_x_medium","Beguinage-Dixmude",1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']","t","f","Bruxelles, Bruxelles, Belgium","Beguinage-Dixmude","Bruxelles",NA,"Brussel","Bruxelles","1000","Brussels","Bruxelles, Belgium","BE","Belgium",50.85427,4.34842,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",807,"$60.00 ","$600.00 ","$1,800.00 ","$100.00 ","$15.00 ",2,"$15.00 ",2,1125,2,2,1125,1125,2,1125,"t",0,0,0,0,"4/19/2020",12,5,"9/23/2017","8/12/2019",98,10,10,10,10,10,10,NA,"f","f","moderate","f","f",1,1,0,0,0.38,"Brussels"
"2457",2482,97740,"https://www.airbnb.com/rooms/97740",517059,"https://www.airbnb.com/users/show/517059","Beno鍗痶","4/18/2011","Brussels, Bruxelles, Belgium","N/A","N/A","100%","f","https://a0.muscache.com/im/users/517059/profile_pic/1381480483/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/517059/profile_pic/1381480483/original.jpg?aki_policy=profile_x_medium","Schaerbeek",2,2,"['email', 'phone', 'reviews']","t","f","Brussels, Brussels, Belgium","Schaerbeek","Schaerbeek",NA,"Brussel","Brussels","1030","Brussels","Brussels, Belgium","BE","Belgium",50.86986,4.37712,"t","Bed and breakfast","Hotel room",4,1,2,3,"Real Bed",700,"$95.00 ","$490.00 ","$1,270.00 ","$0.00 ","$0.00 ",1,"$45.00 ",2,30,2,2,1125,1125,2,1125,"t",0,0,0,0,"4/19/2020",3,0,"1/23/2012","5/26/2016",93,9,10,9,10,9,10,NA,"t","f","strict_14_with_grace_period","f","f",2,0,1,0,0.03,"Brussels"
"2458",2486,130097,"https://www.airbnb.com/rooms/130097",641036,"https://www.airbnb.com/users/show/641036","Pascal","5/30/2011","Brussels, Brussels, Belgium","within an hour","100%","100%","t","https://a0.muscache.com/im/users/641036/profile_pic/1307443360/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/641036/profile_pic/1307443360/original.jpg?aki_policy=profile_x_medium","Grand Place",2,2,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Brussels, Brussels, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.84582,4.34954,"t","Bed and breakfast","Hotel room",2,1,1,1,"Real Bed",NA,"$97.00 ","","","$0.00 ","$0.00 ",2,"$0.00 ",1,1125,1,1,1125,1125,1,1125,"t",30,48,59,305,"4/19/2020",31,3,"6/19/2011","10/15/2019",99,10,10,10,10,10,10,NA,"t","f","moderate","f","f",2,1,0,0,0.29,"Brussels"
"2459",2492,137971,"https://www.airbnb.com/rooms/137971",674142,"https://www.airbnb.com/users/show/674142","RAS Residence","6/7/2011","Brussels, Brussels, Belgium","within an hour","100%","79%","t","https://a0.muscache.com/im/users/674142/profile_pic/1343214070/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/674142/profile_pic/1343214070/original.jpg?aki_policy=profile_x_medium","Squares",8,8,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Brussels, Brussels, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.84607,4.37444,"t","Apartment","Entire home/apt",5,2,3,4,"Real Bed",1292,"$165.00 ","$1,350.00 ","$3,900.00 ","$300.00 ","$0.00 ",2,"$25.00 ",1,730,1,2,730,730,1,730,"t",27,57,77,352,"4/19/2020",120,31,"1/2/2012","2/9/2020",95,10,10,10,10,9,9,NA,"f","f","flexible","f","f",8,5,3,0,1.19,"Brussels"
"2460",2496,166510,"https://www.airbnb.com/rooms/166510",674142,"https://www.airbnb.com/users/show/674142","RAS Residence","6/7/2011","Brussels, Brussels, Belgium","within an hour","100%","79%","t","https://a0.muscache.com/im/users/674142/profile_pic/1343214070/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/674142/profile_pic/1343214070/original.jpg?aki_policy=profile_x_medium","Squares",8,8,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Brussels, Brussels, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.84603,4.37422,"t","Apartment","Entire home/apt",4,1,1,1,"Real Bed",753,"$150.00 ","$1,000.00 ","$2,750.00 ","$0.00 ","$0.00 ",2,"$25.00 ",1,730,1,2,730,730,1,730,"t",27,57,87,362,"4/19/2020",9,1,"10/24/2011","11/10/2019",98,10,10,10,10,9,10,NA,"f","f","flexible","f","f",8,5,3,0,0.09,"Brussels"
"2461",2501,227067,"https://www.airbnb.com/rooms/227067",1184505,"https://www.airbnb.com/users/show/1184505","Karolien","9/20/2011","Brussels, Brussels, Belgium","within an hour","100%","100%","f","https://a0.muscache.com/im/users/1184505/profile_pic/1317902598/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/1184505/profile_pic/1317902598/original.jpg?aki_policy=profile_x_medium","Bruxelles-Ville",1,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']","t","f","Brussels, Brussel Hoofdstedelijk Gewest, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Brussel Hoofdstedelijk Gewest","1020","Brussels","Brussels, Belgium","BE","Belgium",50.8791,4.35508,"t","Apartment","Entire home/apt",2,1,1,0,"Real Bed",NA,"$90.00 ","$280.00 ","$690.00 ","$200.00 ","$35.00 ",1,"$0.00 ",3,365,3,3,365,365,3,365,"t",20,20,20,96,"4/19/2020",72,4,"10/28/2011","2/18/2020",98,10,10,10,10,9,10,NA,"f","f","strict_14_with_grace_period","f","t",1,1,0,0,0.7,"Brussels"
"2462",2502,232262,"https://www.airbnb.com/rooms/232262",871030,"https://www.airbnb.com/users/show/871030","ApartmentsApart","7/26/2011","Brussels, Brussels, Belgium","within a few hours","90%","85%","f","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_x_medium","Grand Place",43,43,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'government_id']","t","f","Brussels, Brussels, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.8494,4.35085,"t","Guest suite","Entire home/apt",6,1.5,2,4,"Real Bed",0,"$150.00 ","$1,300.00 ","$3,900.00 ","$300.00 ","$0.00 ",4,"$25.00 ",1,365,1,4,365,365,1,365,"t",30,60,89,364,"4/19/2020",95,39,"11/12/2011","3/1/2020",88,9,9,9,9,10,9,NA,"f","f","flexible","f","t",43,42,0,0,0.92,"Brussels"
"2463",2503,232268,"https://www.airbnb.com/rooms/232268",871030,"https://www.airbnb.com/users/show/871030","ApartmentsApart","7/26/2011","Brussels, Brussels, Belgium","within a few hours","90%","85%","f","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_x_medium","Grand Place",43,43,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'government_id']","t","f","Brussels, Brussels, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.84763,4.35064,"t","Serviced apartment","Entire home/apt",6,1,2,4,"Real Bed",969,"$149.00 ","$1,000.00 ","$3,400.00 ","$300.00 ","$40.00 ",4,"$25.00 ",1,35,1,4,35,35,1,35,"t",28,58,88,363,"4/19/2020",35,5,"3/5/2013","1/2/2020",78,9,9,9,9,10,8,NA,"f","f","moderate","f","t",43,42,0,0,0.4,"Brussels"
"2464",2504,232354,"https://www.airbnb.com/rooms/232354",871030,"https://www.airbnb.com/users/show/871030","ApartmentsApart","7/26/2011","Brussels, Brussels, Belgium","within a few hours","90%","85%","f","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_x_medium","Grand Place",43,43,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'government_id']","t","f","Brussels, Brussels, Belgium","Grand Place","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.8494,4.35245,"t","Serviced apartment","Entire home/apt",4,1,1,2,"Real Bed",678,"$87.00 ","$680.00 ","$2,850.00 ","$300.00 ","",2,"$20.00 ",2,365,2,2,365,365,2,365,"t",30,51,81,353,"4/19/2020",10,0,"3/11/2014","3/23/2019",78,8,8,8,8,10,7,NA,"f","f","moderate","f","t",43,42,0,0,0.13,"Brussels"
"2465",2505,233899,"https://www.airbnb.com/rooms/233899",871030,"https://www.airbnb.com/users/show/871030","ApartmentsApart","7/26/2011","Brussels, Brussels, Belgium","within a few hours","90%","85%","f","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_x_medium","Grand Place",43,43,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'government_id']","t","f","Brussels, Brussels, Belgium","Grand Place","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.85059,4.35275,"t","Guest suite","Entire home/apt",6,2,2,4,"Real Bed",1324,"$149.00 ","$850.00 ","$3,400.00 ","$300.00 ","$0.00 ",4,"$20.00 ",2,40,2,4,40,40,2,40,"t",29,57,87,349,"4/19/2020",66,12,"12/7/2014","3/1/2020",88,9,9,9,9,10,9,NA,"f","f","moderate","f","t",43,42,0,0,1.01,"Brussels"
