"","X","id","listing_url","host_id","host_url","host_name","host_since","host_location","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_thumbnail_url","host_picture_url","host_neighbourhood","host_listings_count","host_total_listings_count","host_verifications","host_has_profile_pic","host_identity_verified","street","neighbourhood","neighbourhood_cleansed","neighbourhood_group_cleansed","city","state","zipcode","market","smart_location","country_code","country","latitude","longitude","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","square_feet","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_ltm","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","jurisdiction_names","instant_bookable","is_business_travel_ready","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","place"
"5313",11455,77327,"https://www.airbnb.com/rooms/77327",414263,"https://www.airbnb.com/users/show/414263","Edward En Daphn鑼","2/28/2011","Ghent, Flanders, Belgium","within an hour","73%","100%","f","https://a0.muscache.com/im/users/414263/profile_pic/1360698989/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/414263/profile_pic/1360698989/original.jpg?aki_policy=profile_x_medium","",13,13,"['email', 'phone', 'facebook', 'reviews', 'offline_government_id', 'government_id']","t","t","Gent, Vlaams Gewest, Belgium",NA,"Stationsbuurt Noord",NA,"Ghent","Vlaams Gewest","9000","Gent","Gent, Belgium","BE","Belgium",51.03694,3.72968,"t","Loft","Entire home/apt",4,1,0,4,"Real Bed",NA,"$89.00 ","$420.00 ","$1,140.00 ","$200.00 ","$25.00 ",2,"$20.00 ",2,730,2,2,730,730,2,730,"t",15,37,61,280,"3/18/2020",11,0,"12/30/2014","4/22/2018",82,8,9,8,9,8,8,NA,"t","f","moderate","f","f",12,9,2,0,0.17,"Ghent"
"5314",11456,137110,"https://www.airbnb.com/rooms/137110",670655,"https://www.airbnb.com/users/show/670655","Daan","6/6/2011","Ghent, Flemish Region, Belgium","within a few hours","100%","84%","f","https://a0.muscache.com/im/users/670655/profile_pic/1440543224/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/670655/profile_pic/1440543224/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews']","t","f","Ghent, Flemish Region, Belgium",NA,"Elisabethbegijnhof - Papegaai",NA,"Ghent","Flemish Region","9000","Gent","Ghent, Belgium","BE","Belgium",51.05785,3.71192,"t","Townhouse","Private room",4,1,2,2,"Real Bed",NA,"$50.00 ","$350.00 ","$900.00 ","$0.00 ","$0.00 ",2,"$25.00 ",1,730,1,2,730,730,1.6,730,"t",14,23,41,221,"3/18/2020",158,21,"7/30/2011","2/27/2020",84,9,8,10,10,10,9,NA,"f","f","strict_14_with_grace_period","f","f",1,0,1,0,1.5,"Ghent"
"5315",11457,185483,"https://www.airbnb.com/rooms/185483",890429,"https://www.airbnb.com/users/show/890429","Dries","7/29/2011","Ghent, Flemish Region, Belgium","within an hour","100%","100%","f","https://a0.muscache.com/im/users/890429/profile_pic/1436790204/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/890429/profile_pic/1436790204/original.jpg?aki_policy=profile_x_medium","",7,7,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']","t","f","Ghent, Flemish Region, Belgium",NA,"Macharius - Heirnis",NA,"Ghent","Flemish Region","9000","Gent","Ghent, Belgium","BE","Belgium",51.05213,3.74049,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",431,"$45.00 ","$300.00 ","$750.00 ","$0.00 ","$50.00 ",1,"$0.00 ",6,1125,2,6,1125,1125,6,1125,"t",10,40,64,252,"3/18/2020",52,13,"5/14/2012","2/3/2020",80,9,8,9,9,8,8,NA,"t","f","flexible","f","f",7,7,0,0,0.54,"Ghent"
"5316",11458,187870,"https://www.airbnb.com/rooms/187870",904277,"https://www.airbnb.com/users/show/904277","Tamara","8/1/2011","Ghent, Flemish Region, Belgium","within an hour","100%","100%","t","https://a0.muscache.com/im/users/904277/profile_pic/1312230017/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/904277/profile_pic/1312230017/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","t","Ghent, Flemish Region, Belgium",NA,"Watersportbaan - Ekkergem",NA,"Ghent","Flemish Region","9000","Gent","Ghent, Belgium","BE","Belgium",51.05168,3.70283,"t","Townhouse","Private room",2,1.5,1,1,"Real Bed",506,"$55.00 ","$350.00 ","$1,250.00 ","$0.00 ","$0.00 ",2,"$0.00 ",2,90,2,2,90,90,2,90,"t",27,46,73,323,"3/18/2020",389,62,"9/17/2011","3/10/2020",97,10,10,10,10,9,10,NA,"t","f","flexible","f","t",1,0,1,0,3.76,"Ghent"
"5317",11459,191534,"https://www.airbnb.com/rooms/191534",890429,"https://www.airbnb.com/users/show/890429","Dries","7/29/2011","Ghent, Flemish Region, Belgium","within an hour","100%","100%","f","https://a0.muscache.com/im/users/890429/profile_pic/1436790204/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/890429/profile_pic/1436790204/original.jpg?aki_policy=profile_x_medium","",7,7,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']","t","f","Ghent, Flemish Region, Belgium",NA,"Macharius - Heirnis",NA,"Ghent","Flemish Region","9000","Gent","Ghent, Belgium","BE","Belgium",51.05213,3.74049,"t","Apartment","Entire home/apt",2,1,0,1,"Real Bed",431,"$45.00 ","$300.00 ","$750.00 ","$0.00 ","$50.00 ",2,"$0.00 ",6,1125,6,6,1125,1125,6,1125,"t",27,57,87,362,"3/18/2020",42,8,"1/24/2012","2/28/2020",85,8,8,9,9,9,8,NA,"t","f","strict_14_with_grace_period","f","f",7,7,0,0,0.42,"Ghent"
"5318",11460,204245,"https://www.airbnb.com/rooms/204245",1003009,"https://www.airbnb.com/users/show/1003009","Nele","8/22/2011","Gent, Vlaams Gewest, Belgium","within a day","100%","72%","f","https://a0.muscache.com/im/users/1003009/profile_pic/1357806159/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/1003009/profile_pic/1357806159/original.jpg?aki_policy=profile_x_medium","",2,2,"['email', 'phone', 'reviews']","t","f","Ghent, Flemish Region, Belgium",NA,"Binnenstad",NA,"Ghent","Flemish Region","9000","Gent","Ghent, Belgium","BE","Belgium",51.05842,3.72721,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",NA,"$90.00 ","","$2,200.00 ","","",2,"$20.00 ",1,14,1,2,14,14,1.3,14,"t",28,54,61,61,"3/18/2020",29,5,"3/17/2012","10/17/2019",96,10,10,10,9,10,9,NA,"f","f","moderate","f","t",2,2,0,0,0.3,"Ghent"
"5319",11461,216715,"https://www.airbnb.com/rooms/216715",911466,"https://www.airbnb.com/users/show/911466","James","8/2/2011","Ghent, Flemish Region, Belgium","within an hour","100%","100%","f","https://a0.muscache.com/im/users/911466/profile_pic/1323084729/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/911466/profile_pic/1323084729/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'identity_manual']","t","f","Ghent, Flemish Region, Belgium",NA,"Binnenstad",NA,"Ghent","Flemish Region","9000","Gent","Ghent, Belgium","BE","Belgium",51.05756,3.7318,"t","Loft","Entire home/apt",4,1.5,1,3,"Real Bed",NA,"$70.00 ","","","","",2,"$20.00 ",2,365,2,2,365,365,2,365,"t",24,45,59,307,"3/18/2020",460,65,"10/20/2011","2/24/2020",95,10,10,10,10,10,9,NA,"t","f","moderate","f","f",1,1,0,0,4.49,"Ghent"
"5320",11462,252269,"https://www.airbnb.com/rooms/252269",1195314,"https://www.airbnb.com/users/show/1195314","Anne-Sophie","9/22/2011","Ghent, Flemish Region, Belgium","within an hour","100%","89%","t","https://a0.muscache.com/im/pictures/user/5786de83-7854-4086-9719-4b1e8b5e7143.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/5786de83-7854-4086-9719-4b1e8b5e7143.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id', 'work_email']","t","t","Ghent, Flemish Region, Belgium",NA,"Elisabethbegijnhof - Papegaai",NA,"Ghent","Flemish Region","9000","Gent","Ghent, Belgium","BE","Belgium",51.05216,3.71993,"t","Townhouse","Entire home/apt",8,2.5,4,8,"Real Bed",NA,"$210.00 ","$990.00 ","$2,450.00 ","$500.00 ","$80.00 ",4,"$50.00 ",2,35,2,3,35,35,2,35,"t",30,36,54,136,"3/18/2020",143,40,"4/9/2012","3/9/2020",98,10,10,10,10,10,9,NA,"f","f","strict_14_with_grace_period","f","f",1,1,0,0,1.48,"Ghent"
"5321",11463,392245,"https://www.airbnb.com/rooms/392245",1961511,"https://www.airbnb.com/users/show/1961511","Hans","3/18/2012","Ghent, Flanders, Belgium","within an hour","100%","90%","t","https://a0.muscache.com/im/users/1961511/profile_pic/1376066446/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/1961511/profile_pic/1376066446/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']","t","t","Ghent, OVL, Belgium",NA,"Stationsbuurt Zuid",NA,"Ghent","OVL","9000","Gent","Ghent, Belgium","BE","Belgium",51.02971,3.71369,"f","Apartment","Private room",1,1.5,1,1,"Real Bed",NA,"$32.00 ","$150.00 ","$585.00 ","","$20.00 ",1,"$0.00 ",3,160,3,3,160,160,3,160,"t",13,20,45,135,"3/18/2020",121,20,"6/9/2012","2/15/2020",96,10,10,10,10,10,10,NA,"f","f","flexible","f","f",2,0,2,0,1.28,"Ghent"
"5322",11464,432857,"https://www.airbnb.com/rooms/432857",2136986,"https://www.airbnb.com/users/show/2136986","Christophe","4/14/2012","Gent, Vlaams Gewest, Belgium","N/A","N/A","N/A","f","https://a0.muscache.com/im/users/2136986/profile_pic/1374328556/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/2136986/profile_pic/1374328556/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'jumio', 'government_id', 'work_email']","t","t","Ghent, Flemish Region, Belgium",NA,"Sint Denijs Westrem",NA,"Ghent","Flemish Region","9051","Gent","Ghent, Belgium","BE","Belgium",51.03113,3.68348,"t","Boat","Private room",2,1,1,1,"Couch",NA,"$299.00 ","","","$300.00 ","$25.00 ",1,"$0.00 ",1,1125,1,1,1125,1125,1,1125,"t",29,59,89,364,"3/18/2020",3,0,"8/8/2013","8/12/2018",100,9,9,10,9,10,9,NA,"f","f","flexible","f","f",1,0,1,0,0.04,"Ghent"
