"","place","room_type","price","neighbourhood_cleansed","minimum_nights"
"1","Antwerp","Hotel room",60,"Historisch Centrum",1
"2","Antwerp","Entire home/apt",66,"Eilandje",2
"3","Antwerp","Private room",72,"Deurne Zuid West",14
"4","Antwerp","Entire home/apt",19,"Sint-Andries",2
"5","Antwerp","Entire home/apt",234,"Stadspark",15
"6","Antwerp","Entire home/apt",214,"Markgrave",3
"7","Antwerp","Private room",167,"Borgerhout Intra Muros Noord",1
"8","Antwerp","Private room",162,"Borgerhout Intra Muros Zuid",2
"9","Antwerp","Private room",162,"Borgerhout Intra Muros Noord",5
"10","Antwerp","Entire home/apt",221,"Harmonie",2
"11","Antwerp","Entire home/apt",102,"Historisch Centrum",2
"12","Antwerp","Entire home/apt",66,"Eilandje",2
"13","Antwerp","Entire home/apt",243,"Historisch Centrum",2
"14","Antwerp","Entire home/apt",298,"Hoogte",3
"15","Antwerp","Private room",243,"Hoogte",2
"16","Antwerp","Entire home/apt",66,"Harmonie",2
"17","Antwerp","Entire home/apt",281,"Borgerhout Intra Muros Zuid",2
"18","Antwerp","Private room",281,"Borgerhout Intra Muros Noord",2
"19","Antwerp","Private room",249,"Oud - Berchem",2
"20","Antwerp","Private room",36,"Oud - Berchem",2
"21","Antwerp","Entire home/apt",243,"Stadspark",2
"22","Antwerp","Private room",266,"Markgrave",1
"23","Antwerp","Entire home/apt",266,"Linkeroever",7
"24","Antwerp","Entire home/apt",249,"Stadspark",2
"25","Antwerp","Entire home/apt",293,"Centraal Station",2
"26","Antwerp","Entire home/apt",87,"Zuid",1
"27","Antwerp","Private room",203,"Amandus - Atheneum",1
"28","Antwerp","Private room",203,"Amandus - Atheneum",1
"29","Antwerp","Private room",281,"Universiteitsbuurt",1
"30","Antwerp","Hotel room",66,"Historisch Centrum",1
"31","Antwerp","Entire home/apt",90,"Historisch Centrum",2
"32","Antwerp","Entire home/apt",221,"Borgerhout Intra Muros Noord",2
"33","Antwerp","Entire home/apt",179,"Borgerhout Intra Muros Noord",2
"34","Antwerp","Entire home/apt",269,"Deurne Zuid West",1
"35","Antwerp","Entire home/apt",30,"Zuid",3
"36","Antwerp","Entire home/apt",246,"Universiteitsbuurt",2
"37","Antwerp","Entire home/apt",269,"Deurne Zuid West",1
"38","Antwerp","Entire home/apt",266,"Zuid",2
"39","Antwerp","Private room",203,"Amandus - Atheneum",1
"40","Antwerp","Entire home/apt",22,"Zuid",3
"41","Antwerp","Private room",182,"Zurenborg",5
"42","Antwerp","Entire home/apt",234,"Borgerhout Intra Muros Noord",1
"43","Antwerp","Entire home/apt",256,"Markgrave",2
"44","Antwerp","Entire home/apt",275,"Zuid",1
"45","Antwerp","Private room",72,"Deurne Zuid West",7
"46","Antwerp","Entire home/apt",85,"Eilandje",2
"47","Antwerp","Entire home/apt",269,"Borgerhout Intra Muros Zuid",1
"48","Antwerp","Private room",243,"Eilandje",1
"49","Antwerp","Entire home/apt",234,"Tentoonstellingswijk",5
"50","Antwerp","Entire home/apt",289,"Amandus - Atheneum",2
"51","Antwerp","Entire home/apt",88,"Zurenborg",1
"52","Antwerp","Private room",214,"Stadspark",2
"53","Antwerp","Entire home/apt",259,"Historisch Centrum",3
"54","Antwerp","Private room",243,"Eilandje",1
"55","Antwerp","Private room",243,"Borgerhout Extra Muros",3
"56","Antwerp","Entire home/apt",289,"Stadspark",3
"57","Antwerp","Entire home/apt",275,"Stadspark",10
"58","Antwerp","Entire home/apt",225,"Zurenborg",4
"59","Antwerp","Private room",14,"Centraal Station",1
"60","Antwerp","Private room",182,"Deurne Noord",1
"61","Antwerp","Entire home/apt",249,"Stuivenberg",4
"62","Antwerp","Private room",182,"Deurne Dorp - Gallifort",2
"63","Antwerp","Entire home/apt",14,"Historisch Centrum",2
"64","Antwerp","Entire home/apt",259,"Zurenborg",2
"65","Antwerp","Private room",185,"Stuivenberg",1
"66","Antwerp","Entire home/apt",194,"Borgerhout Intra Muros Noord",3
"67","Antwerp","Entire home/apt",25,"Sint-Andries",2
"68","Antwerp","Entire home/apt",249,"Eilandje",4
"69","Antwerp","Entire home/apt",248,"Amandus - Atheneum",1
"70","Antwerp","Entire home/apt",18,"Zuid",4
"71","Antwerp","Entire home/apt",145,"Oud - Berchem",2
"72","Antwerp","Private room",119,"Haringrode",2
"73","Antwerp","Entire home/apt",281,"Oud - Berchem",6
"74","Antwerp","Entire home/apt",243,"Historisch Centrum",1
"75","Antwerp","Entire home/apt",126,"Stadspark",800
"76","Antwerp","Entire home/apt",214,"Groenenhoek",50
"77","Antwerp","Private room",266,"Oosterveld - Elsdonk",1
"78","Antwerp","Entire home/apt",223,"Stuivenberg",2
"79","Antwerp","Entire home/apt",185,"Universiteitsbuurt",1
"80","Antwerp","Private room",225,"Deurne Noord",1
"81","Antwerp","Private room",281,"Borgerhout Intra Muros Noord",2
"82","Antwerp","Entire home/apt",25,"Theaterbuurt-Meir",1
"83","Antwerp","Private room",223,"Stuivenberg",2
"84","Antwerp","Entire home/apt",19,"Historisch Centrum",2
"85","Antwerp","Private room",77,"Sint-Andries",1
"86","Antwerp","Private room",214,"Stuivenberg",2
"87","Antwerp","Entire home/apt",298,"Theaterbuurt-Meir",1
"88","Antwerp","Entire home/apt",90,"Sint-Andries",2
"89","Antwerp","Entire home/apt",249,"Borgerhout Intra Muros Noord",2
"90","Antwerp","Entire home/apt",249,"Historisch Centrum",3
"91","Antwerp","Entire home/apt",243,"Zurenborg",6
"92","Antwerp","Private room",175,"Oud - Berchem",1
"93","Antwerp","Entire home/apt",241,"Amandus - Atheneum",4
"94","Antwerp","Shared room",185,"Borgerhout Intra Muros Zuid",1
"95","Antwerp","Private room",215,"Oud - Berchem",1
"96","Antwerp","Shared room",212,"Oud - Berchem",1
"97","Antwerp","Shared room",221,"Oud - Berchem",1
