id,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,property_type,price,security_deposit,review_scores_rating,place,avg.rating,experience_rating,response_rating,acceptance_rating,risk,risk_score,host_rating
116134,586942,"Paul",2011-05-14,"within an hour","100","100","t","Apartment","150.00","250.00",99,"Antwerp",99,2.03037408520433,1,1,1.66666666666667,0.966666666666667,10.4303740852043
224682,1263933,"Kristien",2011-10-08,"within an hour","100","95","t","Apartment","105.00","100.00",95,"Antwerp",95,1.85107744962672,1,0.95,0.952380952380952,0.980952380952381,10.0939345924839
345959,1754396,"Marleen",2012-02-15,"within an hour","100","100","t","Apartment","45.00","",95,"Antwerp",95.5,1.6925157991159,1,1,0,1,10.1925157991159
366252,1820186,"Fronk & Lieve",2012-02-27,"within an hour","100","54","t","Apartment","31.00","0.00",91,"Antwerp",91.5,1.67787933906875,1,0.54,0,1,8.33787933906875
575935,1128692,"Larissa",2011-09-08,"within an hour","100","93","t","Apartment","60.00","300.00",96,"Antwerp",96,1.8876685997446,1,0.93,5,0.9,9.8076685997446
603545,2987880,"Serge",2012-07-19,"within an hour","100","88","t","Loft","150.00","400.00",95,"Antwerp",95,1.50346152350685,1,0.88,2.66666666666667,0.946666666666667,9.36346152350685
636664,462975,"Els",2011-03-25,"within an hour","100","79","t","Apartment","85.00","",88,"Antwerp",88,2.0913593354008,1,0.79,0,1,9.7513593354008
723033,3734348,"Sylvia",2012-10-02,"within an hour","100","94","t","Apartment","60.00","150.00",91,"Antwerp",91,1.41198364821215,1,0.94,2.5,0.95,9.52198364821215
789555,3185214,"Annemie",2012-08-07,"within an hour","100","99","t","Apartment","93.00","0.00",97,"Antwerp",96.3333333333333,1.4802871284322,1,0.99,0,1,9.9402871284322
991824,5446991,"Magali",2013-03-13,"within an hour","100","100","t","Apartment","77.00","",93,"Antwerp",91.5,1.2143914375756,1,1,0,1,9.7143914375756
1292916,3998871,"Rob",2012-10-28,"within an hour","100","100","t","Apartment","45.00","",97,"Antwerp",97,1.38027131810999,1,1,0,1,9.88027131810999
1585405,8446724,"Vera",2013-08-27,"within an hour","100","100","t","House","35.00","0.00",97,"Antwerp",97,1.0107007019194,1,1,0,1,9.5107007019194
1785355,5537956,"Héloïse",2013-03-19,"within an hour","100","55","t","Apartment","36.00","200.00",92,"Antwerp",92,1.20707320755202,1,0.55,5.55555555555556,0.888888888888889,7.57373987421869
1808782,9478810,"Keith",2013-10-17,"within an hour","100","100","t","Loft","110.00","0.00",99,"Antwerp",99,0.948495746719,1,1,0,1,9.448495746719
2433570,12411315,"Sophie",2014-02-20,"within an hour","100","100","t","Apartment","49.00","500.00",94,"Antwerp",94,0.794812916223902,1,1,10.2040816326531,0.795918367346939,8.68256801826472
2522970,12917758,"Bart",2014-03-08,"within an hour","100","100","t","Apartment","98.00","",97,"Antwerp",97,0.775297636161033,1,1,0,1,9.27529763616103
2682808,13733939,"Anneke",2014-03-31,"within an hour","100","100","t","Townhouse","33.00","",91,"Antwerp",91,0.747244421070658,1,1,0,1,9.24724442107066
3540493,15709831,"Liam",2014-05-19,"within an hour","100","100","t","Apartment","51.00","200.00",90,"Antwerp",90,0.68747887587812,1,1,3.92156862745098,0.92156862745098,8.95218475823106
4017995,20834666,"Greta",2014-09-02,"within an hour","100","100","t","Bed and breakfast","75.00","",99,"Antwerp",95.6666666666667,0.558190145461608,1,1,0,1,9.05819014546161
4178600,21679611,"Tom",2014-09-23,"within an hour","100","100","t","House","60.00","0.00",93,"Antwerp",93,0.532576340379092,1,1,0,1,9.03257634037909
4322521,15216532,"Pascal",2014-05-07,"within an hour","100","99","t","Apartment","99.00","250.00",97,"Antwerp",97,0.702115335925272,1,0.99,2.52525252525253,0.94949494949495,9.01060018441012
4425751,3093188,"Saskia",2012-07-29,"within an hour","100","93","t","Apartment","50.00","0.00",94,"Antwerp",94,1.49126447346756,1,0.93,0,1,9.71126447346756
4592434,23805604,"Gina",2014-11-16,"within an hour","100","100","t","Apartment","150.00","250.00",98,"Antwerp",98,0.466712270166907,1,1,1.66666666666667,0.966666666666667,8.86671227016691
